2024-11-27 19:30:15,655 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Configure stats pid to 82238
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Loading settings from /Users/shehvincent/.config/wandb/settings
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Loading settings from /Users/shehvincent/Documents/Edge_Computing/NA_Model_Evaluation/Simulation/wandb/settings
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'online', '_disable_service': None}
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_init.py:_log_setup():533] Logging user logs to /Users/shehvincent/Documents/Edge_Computing/NA_Model_Evaluation/Simulation/wandb/run-20241127_193015-s8pxm5um/logs/debug.log
2024-11-27 19:30:15,656 INFO    MainThread:82238 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/shehvincent/Documents/Edge_Computing/NA_Model_Evaluation/Simulation/wandb/run-20241127_193015-s8pxm5um/logs/debug-internal.log
2024-11-27 19:30:15,657 INFO    MainThread:82238 [wandb_init.py:init():619] calling init triggers
2024-11-27 19:30:15,657 INFO    MainThread:82238 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0005, 'batch_size': 64, 'gamma': 0.99, 'n_steps': 256, 'total_timesteps': 10000}
2024-11-27 19:30:15,657 INFO    MainThread:82238 [wandb_init.py:init():644] re-initializing run, found existing run on stack: 8nlvq0nc
2024-11-27 19:30:15,657 INFO    MainThread:82238 [wandb_run.py:_finish():2155] finishing run vincent/ppo-project/8nlvq0nc
2024-11-27 19:30:15,658 INFO    MainThread:82238 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-27 19:30:15,658 INFO    MainThread:82238 [wandb_run.py:_restore():2402] restore
2024-11-27 19:30:15,658 INFO    MainThread:82238 [wandb_run.py:_restore():2408] restore done
2024-11-27 19:30:16,864 INFO    MainThread:82238 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-27 19:30:16,864 INFO    MainThread:82238 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-27 19:30:16,867 INFO    MainThread:82238 [wandb_run.py:_footer_sync_info():3921] logging synced files
2024-11-27 19:30:16,870 INFO    MainThread:82238 [wandb_init.py:init():669] starting backend
2024-11-27 19:30:16,871 INFO    MainThread:82238 [wandb_init.py:init():673] sending inform_init request
2024-11-27 19:30:16,873 INFO    MainThread:82238 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-27 19:30:16,873 INFO    MainThread:82238 [wandb_init.py:init():686] backend started and connected
2024-11-27 19:30:16,882 INFO    MainThread:82238 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2024-11-27 19:30:16,884 INFO    MainThread:82238 [wandb_init.py:init():781] updated telemetry
2024-11-27 19:30:16,926 INFO    MainThread:82238 [wandb_init.py:init():814] communicating run to backend with 300.0 second timeout
2024-11-27 19:30:17,054 INFO    MainThread:82238 [wandb_init.py:init():867] starting run threads in backend
2024-11-27 19:30:17,177 INFO    MainThread:82238 [wandb_run.py:_console_start():2456] atexit reg
2024-11-27 19:30:17,177 INFO    MainThread:82238 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-27 19:30:17,178 INFO    MainThread:82238 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-27 19:30:17,178 INFO    MainThread:82238 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-27 19:30:17,178 INFO    MainThread:82238 [wandb_init.py:init():911] run started, returning control to user process
2024-11-27 19:30:24,155 INFO    MainThread:82238 [wandb_run.py:_finish():2155] finishing run vincent/ppo-project/s8pxm5um
2024-11-27 19:30:24,157 INFO    MainThread:82238 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-27 19:30:24,157 INFO    MainThread:82238 [wandb_run.py:_restore():2402] restore
2024-11-27 19:30:24,157 INFO    MainThread:82238 [wandb_run.py:_restore():2408] restore done
2024-11-27 19:30:25,336 INFO    MainThread:82238 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-27 19:30:25,336 INFO    MainThread:82238 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-27 19:30:25,343 INFO    MainThread:82238 [wandb_run.py:_footer_sync_info():3921] logging synced files
